index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRfq9MLrPL9tFkuFbGb98fMGDdl67v4I2iDLYCVprdsdGaXURCl9UNEr8v_65X1hKrYF5NjSvB01HOGexg-3CJxjkVSu9zPNJ2AunP09vPa0gjEILskTILx&usqp=CAE,https://www.google.com/search?q=apple+scab+fungicide&rlz=1C1ONGR_enIN987IN987&source=lnms&tbm=shop&sa=X&ved=2ahUKEwjFmtyg79L3AhVRAYgKHb5cARIQ_AUoAXoECAIQAw&biw=1920&bih=929&dpr=1
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://www.google.com/search?q=apple+black+rot+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=eEV5YpvnNsiRoATE-LyoBg&oq=apple+black+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADGAAyCAgAEAgQHhAYOggIABCABBCwAzoHCAAQsAMQGDoJCAAQsAMQCBAeOgkIABCwAxAeEBg6CwgAELADEAUQHhAYOgsIABCwAxAIEB4QGDoECAAQDToGCAAQDRAYOggIABAIEA0QHjoMCAAQDRAFEAoQHhAYOgoIABANEAUQHhAYOgoIABAIEA0QHhAYOggIABAIEAcQHjoECCEQCkoECEEYAVDQCFiSFGCLIWgCcAB4AIABhgGIAYsHkgEDMC44mAEAoAEByAEKwAEB&sclient=products-cc
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT2JQ-fAdtrzzmkSespqEpKwop3BnWntsLioVSgjy79mpxQVPSqoD4v9yfL0mtiFJvFnPqeE7EcefadhdEpc9uUTCZbROwOPsklL_XDMSLTpxOGvIcBMMFiBQ&usqp=CAE,https://www.google.com/search?q=apple+cedar+rust+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=s0V5YobVK8vpwQPdoK-YDA&ved=0ahUKEwjG-sW-79L3AhXLdHAKHV3QC8MQ4dUDCAY&uact=5&oq=apple+cedar+rust+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADMgQIABAYMgYIABAIEB4yCAgAEAgQHhAYMggIABAIEB4QGDoLCAAQsAMQCBAeEBg6CggAEAgQDRAeEBg6CAgAEAgQBxAeOgYIABANEBhKBAhBGAFQnwRY8z1gnj9oAXAAeACAAXeIAboHkgEDMy42mAEAoAEByAECwAEB&sclient=products-cc
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://www.google.com/search?q=apple+fertilizers&rlz=1C1ONGR_enIN987IN987&source=lnms&tbm=shop&sa=X&ved=2ahUKEwiu1pjS79L3AhWYCIgKHZAMBAEQ_AUoAnoECAIQBA&biw=1920&bih=929&dpr=1
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSW_S8Mrnq0lLnXWCSPPlONkrPbkB8C3Gy9613OGD0ZaejmP5UNRf8LFnXUYJTM64BC1VYLYcYSbSSv-qVTV15RzDJZipvzsikme8oHSEtVX_ZKDiUQpnbHPQ&usqp=CAE,https://www.google.com/search?q=blueberry+fertilizers&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=30V5YondDsXJ-QbJ_IL4BQ&ved=0ahUKEwjJyKbT79L3AhXFZN4KHUm-AF8Q4dUDCAY&uact=5&oq=blueberry+fertilizers&gs_lcp=Cgtwcm9kdWN0cy1jYxADMgQIABAYMggIABAFEB4QGDIICAAQCBAeEBg6CwgAELADEAoQHhAYOg0IABCwAxAIEAoQHhAYOgQIABANOgYIABANEBg6BggAEAcQHjoICAAQDRAFEB5KBAhBGAFQmgZY1xlgtxxoAnAAeACAAa8BiAH6CZIBBDAuMTCYAQCgAQHIAQTAAQE&sclient=products-cc
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://www.google.com/search?q=cherry+powdery+mildew+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=NUZ5YrDkD46KhwP79Zy4CQ&oq=cherry+powdery+mildew+fungi&gs_lcp=Cgtwcm9kdWN0cy1jYxADGAAyBQghEKABMgUIIRCgATIKCCEQFhAdEB4QGDIKCCEQFhAdEB4QGDIKCCEQFhAdEB4QGDIKCCEQFhAdEB4QGDIKCCEQFhAdEB4QGDIKCCEQFhAdEB4QGDIKCCEQFhAdEB4QGDIKCCEQFhAdEB4QGDoICAAQgAQQsAM6CwgAELADEAUQHhAYOgsIABCwAxAIEB4QGDoFCAAQgAQ6BAgAEA06CAgAEAgQBxAeOggIABANEB4QGDoMCAAQDRAFEAoQHhAYOgoIABAIEA0QHhAYOgYIABAeEBg6CggAEAUQChAeEBg6CAgAEAgQHhAYOggIIRAWEB0QHjoICAAQFhAeEBg6CggAEBYQChAeEBg6BwghEAoQoAFKBAhBGAFQzgJYjlBghVZoBHAAeACAAZ0BiAGLE5IBBDAuMjCYAQCgAQHIAQTAAQE&sclient=products-cc
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://www.google.com/search?q=cherry+fertilizers&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=ekZ5Yvy8A5GJoAT36LG4Dw&ved=0ahUKEwj84Y-d8NL3AhWRBIgKHXd0DPcQ4dUDCAY&uact=5&oq=cherry+fertilizers&gs_lcp=Cgtwcm9kdWN0cy1jYxADMgoIABAIEAoQHhAYOg0IABCwAxAIEAoQHhAYSgQIQRgBUIYFWIYFYN4HaAFwAHgAgAGSAogBkgKSAQMyLTGYAQCgAQHIAQHAAQE&sclient=products-cc
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.google.com/search?q=corn+Cercospora+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=mkZ5YvjPOYfAhwO7u53gAQ&ved=0ahUKEwj4hOes8NL3AhUH4GEKHbtdBxwQ4dUDCAY&uact=5&oq=corn+Cercospora+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADSgQIQRgBUMkvWMkvYN44aAJwAHgAgAFtiAFtkgEDMC4xmAEAoAECoAEBwAEB&sclient=products-cc
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://www.google.com/search?q=corn+common+rust+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=QkZ5YpngBJuFoASU8LnIDg&ved=0ahUKEwiZibeC8NL3AhWbAogKHRR4DukQ4dUDCAY&uact=5&oq=corn+common+rust+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADOgYIABAHEB46BAgAEA06BggAEA0QGDoKCAAQDRAFEB4QGDoECAAQGDoGCAAQHhAYOgUIABCiBEoECEEYAFAAWI0YYK4ZaABwAHgAgAGXAYgB2g2SAQQzLjEzmAEAoAEBwAEB&sclient=products-cc
